,Facility ID
0,880004
1,880006
2,880007
3,6155
4,3604
5,2709
6,880023
7,55703
8,2713
9,880025
10,880029
11,2718
12,880030
13,880031
14,10788
15,880038
16,880041
17,880042
18,880045
19,302
20,50607
21,880053
22,70454
23,1594
24,54586
25,59073
26,880065
27,880067
28,880071
29,880072
30,202
31,330
32,880076
33,880079
34,55120
35,55248
36,7762
37,880083
38,7765
39,880086
40,7254
41,880088
42,880089
43,7258
44,880093
45,7902
46,880100
47,66918
48,50151
49,880102
50,880107
51,880108
52,880109
53,50030
54,60910
55,880110
56,113
57,762
58,10619
59,50044
